x,l,err_fwd_rel,err_bwd_rel,err_fwd_abs,err_bwd_abs
0.90,40,6.941254226402540e-15,5.686480391700309e-01,2.567390744445674e-16,2.103282295956139e-02
0.90,41,1.717876918486583e-15,5.353190871281106e-02,1.942890293094024e-16,6.054370059325548e-03
0.90,42,6.726720032849050e-16,5.915847538492536e-02,1.110223024625157e-16,9.763911855009494e-03
0.90,43,0.000000000000000e+00,1.271241779204411e-01,0.000000000000000e+00,2.328425114883489e-02
0.90,44,6.742988640987625e-16,1.937058450061821e-01,1.110223024625157e-16,3.189337852700824e-02
0.90,45,1.948047939727754e-15,2.983194962032366e-01,2.220446049250313e-16,3.400339043254723e-02
0.90,46,7.126105144223348e-15,7.007532197937025e-01,2.983724378680108e-16,2.934077484152707e-02
0.90,47,8.253192033690600e-15,5.128422669516676e-01,3.053113317719180e-16,1.897163604975836e-02
0.90,48,2.207109146855263e-15,4.737226601400422e-02,2.359223927328458e-16,5.063718014636842e-03
0.90,49,7.199694549730878e-16,6.201371572288187e-02,1.110223024625157e-16,9.562774443073574e-03
0.90,50,0.000000000000000e+00,1.294025554054843e-01,0.000000000000000e+00,2.200330771190123e-02
0.99,0,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
0.99,1,0.000000000000000e+00,1.168777118991754e-01,0.000000000000000e+00,1.157089347801836e-01
0.99,2,1.144382852780659e-16,1.771146401572671e-01,1.110223024625157e-16,1.718277681485727e-01
0.99,3,1.180149853839799e-16,2.193750475995836e-01,1.110223024625157e-16,2.063765275916892e-01
0.99,4,2.461057367783862e-16,2.534562841090956e-01,2.220446049250313e-16,2.286765079411720e-01
0.99,5,2.596465105518013e-16,2.834493366225322e-01,2.220446049250313e-16,2.424003150778170e-01
0.99,6,4.161817486522325e-16,3.116272906413153e-01,3.330669073875470e-16,2.493928152485944e-01
0.99,7,7.517943107919497e-16,3.396003007500752e-01,5.551115123125783e-16,2.507548059689298e-01
0.99,8,9.936861135111437e-16,3.688205186172365e-01,6.661338147750939e-16,2.472448952373058e-01
0.99,9,1.487124445921084e-15,4.009319172934254e-01,8.881784197001252e-16,2.394547932324910e-01
0.99,10,2.348146619777108e-15,4.381827759129217e-01,1.221245327087672e-15,2.278940603567404e-01
0.99,11,3.027758396944986e-15,4.841476683104792e-01,1.332267629550188e-15,2.130335984083384e-01
0.99,12,4.029448102055426e-15,5.453273728495592e-01,1.443289932012704e-15,1.953283643194768e-01
0.99,13,5.435168480405456e-15,6.354397694710484e-01,1.498801083243961e-15,1.752287566159224e-01
0.99,14,7.872766768795095e-15,7.900087455910542e-01,1.526556658859590e-15,1.531854234421718e-01
0.99,15,1.317565052929705e-14,1.139726887983964e+00,1.498801083243961e-15,1.296500609601227e-01
0.99,16,3.925603601113835e-14,2.885645350247921e+00,1.429412144204889e-15,1.050736887020993e-01
0.99,17,3.592224185087635e-14,2.154451786200366e+00,1.332267629550188e-15,7.990331967856586e-02
0.99,18,1.154480102271858e-14,5.159388135618419e-01,1.221245327087672e-15,5.457762882925662e-02
0.99,19,6.577026037310979e-15,1.748902984030190e-01,1.110223024625157e-15,2.952204156849914e-02
0.99,20,4.433393011675864e-15,2.282163656728235e-02,9.992007221626409e-16,5.143553860193856e-03
0.99,21,2.827425380205467e-15,6.612181445297069e-02,7.771561172376096e-16,1.817447524689125e-02
